"PLAYER","REASON","missed_games","salary_dollars_claimed","injuries_prior","played_games_prior","games_prior","total_miles_prior","total_minutes_prior","PERCENTAGE_MIN_prior","AVG_TRAVEL_MILES_prior","FGM_prior_sum","FGA_prior_sum","FG3M_prior_sum","FG3A_prior_sum","FTM_prior_sum","FTA_prior_sum","PF_prior_sum","PTS_prior_sum","STL_prior_sum","BLK_prior_sum","TO_prior_sum","OREB_prior_sum","DREB_prior_sum","AST_prior_sum","BLKA_prior_sum","PFD_prior_sum","POSS_prior_sum","SCREEN_ASSISTS_prior_sum","DEFLECTIONS_prior_sum","CHARGES_DRAWN_prior_sum","CONTESTED_SHOTS_2PT_prior_sum","CONTESTED_SHOTS_3PT_prior_sum","OFF_BOXOUTS_prior_sum","DEF_BOXOUTS_prior_sum","OFF_LOOSE_BALLS_RECOVERED_prior_sum","DEF_LOOSE_BALLS_RECOVERED_prior_sum","D_FGM_prior_sum","D_FGA_prior_sum","DRIVES_prior_sum","DIST_MILES_OFF_prior_sum","DIST_MILES_DEF_prior_sum","TOUCHES_prior_sum","PASSES_MADE_prior_sum","PASSES_RECEIVED_prior_sum","SECONDARY_AST_prior_sum","POTENTIAL_AST_prior_sum","FT_AST_prior_sum","OREB_CONTEST_prior_sum","OREB_CHANCES_prior_sum","DREB_CONTEST_prior_sum","DREB_CHANCES_prior_sum"
"AJ Green","Left Ankle Soreness",1,6205.98780487805,1,24,48,10431.8596532688,218.883333333333,0.190002893518519,613.638803133459,37,84,28,70,4,4,23,106,5,0,7,4,22,11,1,3,473,2,6,0,9,18,0,2,1,3,44,94,6,9.4,7.7,268,166,196,3,26,1,2,13,7,34
"AJ Green","Nasal Fracture Surgery",0,0,0,1,13,694.221809806419,2.23333333333333,0.0465277777777777,694.221809806419,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,2,3,0,0,0,0,0,0,0
"AJ Green","Right Foot Soreness",1,6205.98780487805,2,35,81,15675.6611757968,344.95,0.205327380952381,602.910045222952,53,125,44,105,4,4,31,154,6,0,9,6,39,22,1,4,744,5,8,1,20,25,0,4,1,4,66,141,13,14.6,12.2,423,273,301,3,45,1,2,23,14,62
"Aaron Gordon","Left Ankle Sprain",2,480266.073170732,1,46,51,27585.5638989253,1389.3,0.629211956521739,862.048871841417,293,508,45,116,141,228,88,772,35,35,74,113,201,125,44,170,2910,40,61,1,176,71,10,10,15,19,219,483,147,52,47.2,1960,1223,1278,17,186,9,79,218,54,309
"Aaron Gordon","Left Rib Contusion",5,1200665.18292683,2,49,56,29835.3621333136,1482.85,0.63046343537415,877.510650979813,323,550,50,126,152,244,91,848,40,39,79,118,218,140,46,179,3112,41,63,1,188,76,10,10,15,20,234,528,162,55.4,50.4,2096,1301,1367,19,207,11,83,228,57,336
"Aaron Gordon","Right Shoulder Inflammation",2,480266.073170732,3,67,79,39870.718826696,2026.65,0.63017723880597,830.639975556167,423,751,59,171,189,311,127,1094,54,51,98,163,279,201,64,238,4220,59,79,1,263,103,12,19,28,23,335,734,225,75.2,68.8,2854,1777,1892,24,315,19,113,311,71,432
"Aaron Gordon","Right Shoulder Strain",2,480266.073170732,0,29,32,19372.9887433612,869.366666666667,0.624545019157088,842.30385840701,196,321,30,77,85,132,53,507,26,23,46,69,124,61,27,101,1841,20,41,0,99,52,9,8,12,16,141,288,83,32.8,29.7,1204,742,779,12,101,7,50,133,32,190
"Aaron Nesmith","Head Contusion",0,0,9,72,81,29038.120915022,1791.93333333333,0.518499228395062,631.263498152652,247,583,114,312,116,139,232,724,54,31,75,62,210,97,45,138,3805,29,108,12,239,150,5,35,11,23,386,733,294,72,67.2,2591,1813,1488,15,147,6,33,177,46,419
"Aaron Nesmith","Left Foot Soreness",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Nesmith","Left Hip Soreness",1,46394.6341463415,8,57,65,24967.0748263369,1389.68333333333,0.507925194931774,693.529856287136,188,451,83,238,89,103,193,548,43,24,53,46,165,68,32,109,2941,23,76,11,177,117,4,29,8,16,291,563,222,55.8,52.7,1949,1348,1124,11,112,5,23,136,37,332
