"PLAYER","DATE","REASON","GAME_SALARY","attendance","SGV","PERCENTAGE_MIN_prior","PLAYED_RECENT_GAMES_72h_prior","AVG_TRAVEL_MILES_prior","total_miles_prior","total_minutes_prior","played_games_prior","games_prior","FGM_prior_sum","FGA_prior_sum","FG3M_prior_sum","FG3A_prior_sum","FTM_prior_sum","FTA_prior_sum","PF_prior_sum","PTS_prior_sum","STL_prior_sum","BLK_prior_sum","TO_prior_sum","OREB_prior_sum","DREB_prior_sum","AST_prior_sum","BLKA_prior_sum","PFD_prior_sum","POSS_prior_sum","SCREEN_ASSISTS_prior_sum","DEFLECTIONS_prior_sum","CHARGES_DRAWN_prior_sum","CONTESTED_SHOTS_2PT_prior_sum","CONTESTED_SHOTS_3PT_prior_sum","OFF_BOXOUTS_prior_sum","DEF_BOXOUTS_prior_sum","OFF_LOOSE_BALLS_RECOVERED_prior_sum","DEF_LOOSE_BALLS_RECOVERED_prior_sum","D_FGM_prior_sum","D_FGA_prior_sum","DRIVES_prior_sum","DIST_MILES_OFF_prior_sum","DIST_MILES_DEF_prior_sum","TOUCHES_prior_sum","PASSES_MADE_prior_sum","PASSES_RECEIVED_prior_sum","SECONDARY_AST_prior_sum","POTENTIAL_AST_prior_sum","FT_AST_prior_sum","OREB_CONTEST_prior_sum","OREB_CHANCES_prior_sum","DREB_CONTEST_prior_sum","DREB_CHANCES_prior_sum","prior_injury_episodes","prior_missed_games"
"AJ Green",2023-01-27,"Left Ankle Soreness",6205.98780487805,16090,8364762.305,0.190002893518519,1.58333333333333,613.638803133459,10431.8596532688,218.883333333333,24,48,37,84,28,70,4,4,23,106,5,0,7,4,22,11,1,3,473,2,6,0,9,18,0,2,1,3,44,94,6,9.4,7.7,268,166,196,3,26,1,2,13,7,34,0,0
"AJ Green",2023-04-09,"Right Foot Soreness",6205.98780487805,19800,15835269.48,0.205327380952381,1.48571428571429,602.910045222952,15675.6611757968,344.95,35,81,53,125,44,105,4,4,31,154,6,0,9,6,39,22,1,4,744,5,8,1,20,25,0,4,1,4,66,141,13,14.6,12.2,423,273,301,3,45,1,2,23,14,62,1,1
"Aaron Gordon",2022-12-27,"Right Shoulder Strain",240133.036585366,17937,9741474.789,0.624545019157088,1.79310344827586,842.30385840701,19372.9887433612,869.366666666667,29,32,196,321,30,77,85,132,53,507,26,23,46,69,124,61,27,101,1841,20,41,0,99,52,9,8,12,16,141,288,83,32.8,29.7,1204,742,779,12,101,7,50,133,32,190,0,0
"Aaron Gordon",2022-12-28,"Right Shoulder Strain",240133.036585366,17985,20432823.52,0.624545019157088,1.79310344827586,842.30385840701,19372.9887433612,869.366666666667,29,33,196,321,30,77,85,132,53,507,26,23,46,69,124,61,27,101,1841,20,41,0,99,52,9,8,12,16,141,288,83,32.8,29.7,1204,742,779,12,101,7,50,133,32,190,0,1
"Aaron Gordon",2023-02-02,"Left Ankle Sprain",240133.036585366,19555,10998673.16,0.629211956521739,1.76086956521739,862.048871841417,27585.5638989253,1389.3,46,51,293,508,45,116,141,228,88,772,35,35,74,113,201,125,44,170,2910,40,61,1,176,71,10,10,15,19,219,483,147,52,47.2,1960,1223,1278,17,186,9,79,218,54,309,1,2
"Aaron Gordon",2023-02-05,"Left Ankle Sprain",240133.036585366,17136,9996661.709,0.629018912529551,1.74468085106383,862.048871841417,27585.5638989253,1419.06666666667,47,53,300,518,45,117,142,229,89,787,35,36,74,115,205,129,44,171,2974,40,62,1,181,73,10,10,15,19,224,496,149,53.1,48.2,1993,1245,1299,18,191,9,80,221,56,317,2,3
"Aaron Gordon",2023-02-11,"Left Rib Contusion",240133.036585366,19256,9698174.381,0.63046343537415,1.73469387755102,877.510650979813,29835.3621333136,1482.85,49,56,323,550,50,126,152,244,91,848,40,39,79,118,218,140,46,179,3112,41,63,1,188,76,10,10,15,20,234,528,162,55.4,50.4,2096,1301,1367,19,207,11,83,228,57,336,3,4
"Aaron Gordon",2023-02-13,"Left Rib Contusion",240133.036585366,19755,20833382.88,0.63046343537415,1.73469387755102,877.510650979813,29835.3621333136,1482.85,49,57,323,550,50,126,152,244,91,848,40,39,79,118,218,140,46,179,3112,41,63,1,188,76,10,10,15,20,234,528,162,55.4,50.4,2096,1301,1367,19,207,11,83,228,57,336,3,5
"Aaron Gordon",2023-02-15,"Left Rib Contusion",240133.036585366,19627,16060229.13,0.63046343537415,1.73469387755102,877.510650979813,29835.3621333136,1482.85,49,58,323,550,50,126,152,244,91,848,40,39,79,118,218,140,46,179,3112,41,63,1,188,76,10,10,15,20,234,528,162,55.4,50.4,2096,1301,1367,19,207,11,83,228,57,336,3,6
"Aaron Gordon",2023-02-23,"Left Rib Contusion",240133.036585366,19432,14551094.71,0.63046343537415,1.73469387755102,877.510650979813,29835.3621333136,1482.85,49,59,323,550,50,126,152,244,91,848,40,39,79,118,218,140,46,179,3112,41,63,1,188,76,10,10,15,20,234,528,162,55.4,50.4,2096,1301,1367,19,207,11,83,228,57,336,3,7
"Aaron Gordon",2023-02-25,"Left Rib Contusion",240133.036585366,18302,13527053.71,0.63046343537415,1.73469387755102,877.510650979813,29835.3621333136,1482.85,49,60,323,550,50,126,152,244,91,848,40,39,79,118,218,140,46,179,3112,41,63,1,188,76,10,10,15,20,234,528,162,55.4,50.4,2096,1301,1367,19,207,11,83,228,57,336,3,8
"Aaron Gordon",2023-04-06,"Right Shoulder Inflammation",240133.036585366,17071,35505930.81,0.63017723880597,1.71641791044776,830.639975556167,39870.718826696,2026.65,67,79,423,751,59,171,189,311,127,1094,54,51,98,163,279,201,64,238,4220,59,79,1,263,103,12,19,28,23,335,734,225,75.2,68.8,2854,1777,1892,24,315,19,113,311,71,432,4,9
"Aaron Gordon",2023-04-09,"Right Shoulder Inflammation",240133.036585366,19652,14523335.08,0.629631331699346,1.70588235294118,824.021144471506,40377.0360791038,2055.11666666667,68,81,429,761,60,173,191,314,129,1109,54,51,98,164,282,203,65,242,4288,59,79,1,267,107,12,20,28,23,345,750,228,76.3,69.7,2890,1802,1919,25,322,20,113,314,71,436,5,10
"Aaron Nesmith",2022-10-29,"Sore Right Foot",46394.6341463415,17732,10753837.96,0.456481481481481,1.83333333333333,615.619147275186,1846.85744182556,131.466666666667,6,6,19,43,7,22,7,9,18,52,1,5,6,3,18,9,5,6,280,1,6,0,21,10,0,2,0,2,25,50,22,5.1,5.2,178,122,106,3,11,0,3,9,5,43,0,0
"Aaron Nesmith",2022-10-31,"Sore Right Foot",46394.6341463415,15770,16633048.18,0.456481481481481,1.83333333333333,615.619147275186,1846.85744182556,131.466666666667,6,7,19,43,7,22,7,9,18,52,1,5,6,3,18,9,5,6,280,1,6,0,21,10,0,2,0,2,25,50,22,5.1,5.2,178,122,106,3,11,0,3,9,5,43,0,1
"Aaron Nesmith",2022-11-04,"Right Foot Soreness",46394.6341463415,13141,4277016.658,0.456481481481481,1.83333333333333,615.619147275186,1846.85744182556,131.466666666667,6,8,19,43,7,22,7,9,18,52,1,5,6,3,18,9,5,6,280,1,6,0,21,10,0,2,0,2,25,50,22,5.1,5.2,178,122,106,3,11,0,3,9,5,43,1,2
"Aaron Nesmith",2022-11-07,"Right Foot Soreness",46394.6341463415,14052,3336659.924,0.456481481481481,1.83333333333333,615.619147275186,1846.85744182556,131.466666666667,6,9,19,43,7,22,7,9,18,52,1,5,6,3,18,9,5,6,280,1,6,0,21,10,0,2,0,2,25,50,22,5.1,5.2,178,122,106,3,11,0,3,9,5,43,1,3
"Aaron Nesmith",2022-12-23,"Right Ankle Sprain",46394.6341463415,19600,4939955.843,0.467051091269841,1.82142857142857,710.355387810914,11365.6862049746,627.716666666667,28,32,89,207,44,116,30,35,87,252,22,14,28,21,80,31,16,47,1346,9,39,2,92,51,3,8,5,8,123,256,90,25,24.1,871,594,526,8,60,3,10,63,17,154,2,4
"Aaron Nesmith",2023-03-05,"Sore Left Hip",46394.6341463415,21225,7010592.68,0.507925194931774,1.78947368421053,693.529856287136,24967.0748263369,1389.68333333333,57,64,188,451,83,238,89,103,193,548,43,24,53,46,165,68,32,109,2941,23,76,11,177,117,4,29,8,16,291,563,222,55.8,52.7,1949,1348,1124,11,112,5,23,136,37,332,3,5
"Aaron Nesmith",2023-03-06,"Left Hip Soreness",46394.6341463415,15008,10462467.93,0.507925194931774,1.78947368421053,693.529856287136,24967.0748263369,1389.68333333333,57,65,188,451,83,238,89,103,193,548,43,24,53,46,165,68,32,109,2941,23,76,11,177,117,4,29,8,16,291,563,222,55.8,52.7,1949,1348,1124,11,112,5,23,136,37,332,4,6
"Admiral Schofield",2023-03-07,"Concussion",10706.5853658537,16110,8934675.066,0.24725582437276,1.58064516129032,766.667423610353,13800.0136249863,367.916666666667,31,65,46,95,20,57,17,19,54,129,6,3,6,19,33,25,3,24,765,35,15,6,31,47,4,8,2,3,72,148,24,15.3,13.2,560,445,285,0,42,2,9,49,9,73,0,0
