TEAM_ABBREVIATION,injuries,player_games_lost,players_with_injuries,salary_dollars_lost,travel_games,total_travel,played_games_48h,played_games_72h,played_games_7d,total_games,W,L,w_percentage,team_logo
ATL,38,149,13,19671271.96,56,37748.13995,1.158536585,1.804878049,3.475609756,82,41,41,0.5,./teams/ATL.png
BKN,38,176,14,34896893.73,55,36951.19335,1.170731707,1.792682927,3.56097561,82,45,37,0.548780488,./teams/BKN.png
BOS,29,112,10,20223017.38,55,41871.32346,1.158536585,1.792682927,3.5,82,57,25,0.695121951,./teams/BOS.png
CHA,21,196,8,27658200.55,55,36334.8809,1.146341463,1.804878049,3.548780488,82,27,55,0.329268293,./teams/CHA.png
CHI,30,212,11,29430943.05,61,40456.97948,1.182926829,1.792682927,3.487804878,81,39,42,0.481481481,./teams/CHI.png
CLE,33,264,13,28253842.08,56,33630.80953,1.146341463,1.792682927,3.56097561,82,51,31,0.62195122,./teams/CLE.png
DAL,35,267,15,51165768.84,53,41307.36551,1.158536585,1.768292683,3.585365854,82,37,44,0.451219512,./teams/DAL.png
DEN,42,181,15,19129735.54,60,49628.77793,1.146341463,1.804878049,3.56097561,82,53,29,0.646341463,./teams/DEN.png
DET,34,318,18,32982084.48,57,34209.41501,1.170731707,1.792682927,3.536585366,81,17,64,0.209876543,./teams/DET.png
GSW,43,181,11,37546558.62,55,47020.67341,1.182926829,1.768292683,3.536585366,81,43,38,0.530864198,./teams/GSW.png
HOU,25,114,8,8175589.686,54,43439.23514,1.158536585,1.817073171,3.548780488,82,22,60,0.268292683,./teams/HOU.png
IND,48,288,12,24461152.22,54,34296.05862,1.170731707,1.792682927,3.524390244,82,35,47,0.426829268,./teams/IND.png
LAC,32,155,12,51390320.95,53,44609.65103,1.182926829,1.804878049,3.585365854,82,44,38,0.536585366,./teams/LAC.png
LAL,23,205,13,37052987.26,52,42493.86611,1.146341463,1.792682927,3.487804878,82,43,39,0.524390244,./teams/LAL.png
MEM,34,237,14,24103390.5,58,44095.58397,1.146341463,1.780487805,3.548780488,82,51,31,0.62195122,./teams/MEM.png
MIA,61,331,17,37092200.57,53,42738.72028,1.170731707,1.780487805,3.573170732,82,44,38,0.536585366,./teams/MIA.png
MIL,35,209,16,43170196.08,59,39289.86364,1.158536585,1.817073171,3.609756098,82,58,24,0.707317073,./teams/MIL.png
MIN,23,208,11,33443781.47,55,46215.70621,1.170731707,1.792682927,3.548780488,81,41,40,0.50617284,./teams/MIN.png
NOP,23,215,10,31407950.28,53,41508.4661,1.146341463,1.780487805,3.548780488,82,42,40,0.512195122,./teams/NOP.png
NYK,26,189,11,24419145.99,59,40092.37368,1.146341463,1.829268293,3.536585366,82,47,35,0.573170732,./teams/NYK.png
OKC,23,299,15,19829735.25,57,44144.89104,1.158536585,1.780487805,3.512195122,82,40,42,0.487804878,./teams/OKC.png
ORL,25,172,13,16165001.67,53,42365.32784,1.158536585,1.853658537,3.536585366,82,34,48,0.414634146,./teams/ORL.png
PHI,39,123,13,21869493.61,52,36576.43331,1.158536585,1.804878049,3.573170732,82,54,28,0.658536585,./teams/PHI.png
PHX,35,233,13,40374501.57,56,45603.73852,1.146341463,1.792682927,3.585365854,82,45,37,0.548780488,./teams/PHX.png
POR,44,263,15,35728640.53,54,48173.84445,1.170731707,1.817073171,3.56097561,81,32,49,0.395061728,./teams/POR.png
SAC,26,51,11,5389976.134,52,46950.41907,1.182926829,1.780487805,3.56097561,82,48,34,0.585365854,./teams/SAC.png
SAS,65,329,16,17421503.16,50,37771.9512,1.170731707,1.804878049,3.524390244,79,22,57,0.278481013,./teams/SAS.png
TOR,29,196,14,17901447.98,50,33809.21276,1.146341463,1.829268293,3.548780488,82,41,41,0.5,./teams/TOR.png
UTA,37,179,13,22049517.02,55,45446.93015,1.182926829,1.804878049,3.56097561,82,37,45,0.451219512,./teams/UTA.png
WAS,38,186,14,31341709.38,60,35784.66401,1.195121951,1.756097561,3.512195122,82,35,47,0.426829268,./teams/WAS.png
